Document Type,Eduskunta ID,Date,Law Title,Section ID,Section Title,Section Content,Position_first,Name_first,Position_second,Name_second
Vahvistettava laki,1,1734,N/A,5 §,N/A,"Jos oikea saantomies on kuollut, niin vastatkoot kaupan hänen perillisensä, elleivät ole laillisesti luopuneet tahi tahdo luopua perinnöstä ja sakkoa ei ole.", , , , 
Vahvistettava laki,1,1734,N/A,6 §,N/A,"Joka vaihtaa taikka myy maan, huoneen tahi talonaseman eikä tahdo kauppaa vastata, pankoon sen ehdon nimenomaan siihen kirjaan, jolla hän maan, huoneen tahi talonaseman luovuttaa.", , , , 
Vahvistettava laki,1,1734,N/A,7 §,N/A,"Jos naapurien välillä syntyy riitä rajapyykeistä taikka muista rajamerkeistä, niin puolustakoon ostaja rajojansa, niinkuin parhaiten voi ja taitaa olkoon myös kaupanvastaaja velvollinen antamaan ostajalle kaikki ne tiedot ja todistukset, jotka hänellä on hallussansa. Jos hän ne salaa se näytetään toteen, korvatkoon vahingon arviomiesten lausunnon mukaan.", , , , 
Vahvistettava laki,1,1734,N/A,1 § (13.10.1916/82),N/A,1 § on kumottu A:lla 13.10.1916/82., , , , 
Vahvistettava laki,1,1734,N/A,2 § (13.10.1916/82),N/A,2 § on kumottu A:lla 13.10.1916/82., , , , 
Vahvistettava laki,1,1734,N/A,3 §,N/A,"Jos kylät riitelevät välirajasta, noudatettakoon niitä rajapyykkejä, jotka ovat vanhastaan olleet, taikka jotka on tuomiolla vahvistettu. Jollei rajapyykkejä löydy, niin pidettäköön vanhoja aitoja, kallioita, muinaisia kiviraunioita, puroja, pensasaitoja tahi muita merkkejä rajoina, jos niitä vanhastaan on laillisiksi rajamerkeiksi katsottu. Kyläin välillä oleva joki, järvi tahi salmi olkoon myös rajana, jos ei pyykkiä ole toisin osottamassa.", , , , 
Vahvistettava laki,1,1734,N/A,4 §,N/A,"Jos joki, järvi tahi salmi on pitkinpäin kyläin välillä, olkoon puoleksi kummankin. Laki olkoon sama keskellä järveä tahi jokea olevasta saaresta. Saari, joka on toista rantaa lähempänä, olkoon sen, jolle vesi rajalinjan ja rajamerkkien mukaan kuuluu. Kulkusaaren pitäköön se, joka sen rantaansa kiinnittää. Jos järvi taikka osa siitä maatuu niityksi, olkoon kullakin osa niittyyn tahi maahan entisen järviosansa mukaan. Suurten järvien päässä tahi sivulla olevalla kylällä olkoon osa järveen ja saariin rajalinjan ja talonpaikkansa mukaan. Se, jolla on ylimuistoinen nautinta ulkosaariin, kalastuspaikkoihin tai ulkokareihin, saakoon sen oikeuden häiritsemättä pitää. Järvissä ja virroissa olevasta valtaväylästä säädetään [Rakennuskaaressa].", , , , 
Vahvistettava laki,1,1734,N/A,5 §,N/A,"Milloin kylän tilukset ulottuvat ulkopuolelle maakunnan, kihlakunnan ja pitäjän rajoja, pidettäköön ne kylän omina, jos ovat pyykitetyt taikka siihen on muita perusteita.", , , , 
Vahvistettava laki,1,1734,N/A,6 §,N/A,"Jos metsissä tahi syöttömailla ja aitaamattomilla laitumilla kyläin välillä ei ole pyykkejä eikä muita rajamerkkejä, niin olkoon kullakin niihin osa äyri- ja aurtuaveronsa mukaan. Sama olkoon laki, jos yhteisen rajapiirin sisällä on useampia kyliä, joita ei ole toisistaan erotettu. Autiokylällä olkoon sama oikeus kuin asutulla.", , , , 
Vahvistettava laki,1,1734,N/A,7 §,N/A,"Rajanaapurit avatkoot vähintään joka kolmas vuosi rajansa kaikilta puolilta, että ne rajamerkkeinensä aina oikeina pysyvät.", , , , 
Vahvistettava laki,1,1734,N/A,1 §,N/A,"Jos maanomistajat riitautuvat tiluksista ja rajamerkeistä, niin suostukoot keskenänsä pitämään tiluskatselmuksen jonakin määrättynä päivänä. Jos eivät siitä sovi, kääntykööt tuomariin ja näyttäkööt perusteensa käräjissä. Jos riita ei saata päättyä ilman katselmusta, niin Oikeus määrätköön kihlakunnankatselmuksen, joka on kihlakunnantuomarin ja lautakunnan pidettävä ja jossa katselmustuomio on riitapuolille julistettava.", , , , 
Vahvistettava laki,1,1734,N/A,2 §,N/A,"[Katselmus on pidettävä Vapun ja Pyhäinmiesten päivän välillä. Jos paikan sopimattomuuden vuoksi ei sinä vuoden aikana sinne päästä, taikka jos kaikki suostuvat, niin pidettäköön katselmus muuna aikana, maan paljaana ollessa.]", , , , 
Vahvistettava laki,1,1734,N/A,3 § (27.4.1868/21),N/A,"Jos joku tähän syynituomioon ei tahdo tyytyä, vetokoon silloin Hovioikeuteen, niinkuin Oikeudenkäymiskaaressa sanotaan.", , , , 
Vahvistettava laki,1,1734,N/A,4 §,N/A,"Katselmus on toimitettava kantajan kustannuksella, mutta on lopullisesti sen vastattava, jonka tuomari, asian päättyessä, siihen velkapääksi tutkii.", , , , 
Vahvistettava laki,1,1734,N/A,5 §,N/A,"Jos riita on kihlakuntain välillä, niin pyytäkööt hovioikeudelta ulkokihlakunnan tuomaria ja lautakuntaa. Jos riita on läänien tahi maakuntain välillä, antakoon [käskynhaltija] siitä tiedon [kuninkaalle] joka siihen määrää tuomarin.", , , , 
Vahvistettava laki,1,1734,N/A,1 §,N/A,"Ylimuistoinen nautinta on se, kun joku on jotakin kiinteätä omaisuutta tahi jotakin oikeutta niin kauan häiritsemättä ja estämättä pitänyt, nauttinut ja viljellyt, ettei kukaan muista eikä tosipuheesta tiedä, miten hänen esi-isänsä tahi saantomiehensä ovat sen ensin saaneet.", , , , 
Vahvistettava laki,1,1734,N/A,2 §,N/A,"Sellaisella nautinnalla ei ole voimaa kyläkunnassa ja sarkajaoin jaetussa kylässä eikä kylän pellossa, niityssä, järvessä ja metsämaassa, jaetussa tahi jakamattomassa, vaan kukin saakoon osansa äyri- ja aurtuaveron, kyynärä- ja tankoluvun mukaan, taikka niinkuin kussakin paikkakunnassa on tavallista.", , , , 
Vahvistettava laki,1,1734,N/A,3 §,N/A,"Avoimessa metsämaassa kyläkuntain välillä ei ylimuistoisella nautinnalla ole voimaa ilman pyykkejä tahi muita rajamerkkejä. Jos jollakulla on ulkopalsta tahi ulkoalue, joko pelto, niitty tai metsämaa, pyykitetty tahi aidalla tai muulla suojuksella ympäröity, taikka mylly ja myllynpaikka tahi muu vesilaitos taikka luotoja ja saaria, niin olkoon niissä ylimuistoisella nautinnalla voima.", , , , 
Vahvistettava laki,1,1734,N/A,4 §,N/A,"Jos joku väittää itsellänsä olevan ylimuistoisen nautinnan, ja siitä tehdään kanne, niin todistakoon sen vanhoilla ja laillisilla kirjoilla tahi uskottavilla miehillä, jotka tarkoin tuntevat paikkakunnan ja voivat valallansa vahvistaa, etteivät itse tiedä eivätkä ole muilta kuulleet koskaan toisin olleen. Jos hän ei sitä voi, olkoon nautinta voimaton ja mitätön.", , , , 
Vahvistettava laki,1,1734,N/A,N/A,N/A,- - - - - - - - - - - - - -, , , , 
Vahvistettava laki,1,1734,N/A,1 § (19.6.1902/19),N/A,1 § on kumottu L:lla 19.6.1902/19., , , , 
Vahvistettava laki,1,1734,N/A,2 § (19.6.1902/19),N/A,2 § on kumottu L:lla 19.6.1902/19., , , , 
Vahvistettava laki,1,1734,N/A,3 §,N/A,"Jos talonpoika kuolee ja hänellä on veroa tahi maksuja suorittamatta, otetaan ne ulos, ennenkuin perintö jaetaan. Jos hän on velkainen ja hänen tavaransa menee ulosottoon, niin saman vuoden verolla olkoon aina parempi oikeus kuin muulla velalla. Jos kolmen vuoden vero on maksamatta, ja se, jolle se on tuleva, näyttää, ettei hän ennen ole voinut sitä saada, niin olkoon hänellä sama oikeus ja etu. Jos useamman vuoden vero on maksamatta, niin älköön hänellä olko muuta etuoikeutta kuin tuomion tahi kiinnityksen mukaan. Veromaa olkoon myös aina kolmen vuoden veron panttina, kaikkien niiden edellä, jotka ovat saamisen kiinnityttäneet tahi tuomiolla voittaneet.", , , , 
Vahvistettava laki,1,1734,N/A,N/A,N/A,- - - - - - - - - - - - - -, , , , 
Vahvistettava laki,1,1734,N/A,1 §,N/A,"Joka väkivallalla ottaa maan, huoneen, metsän, veden tahi vesilaitoksen niiden haltijalta taikka jollakin toimellaan tekee ne hänelle hyödyttömiksi ja tahtoo anastaa ne itsellensä, korvatkoon vahingon, ja [vetäkööt hän ja kaikki ne, jotka hänen kanssansa olivat samassa rikoksessa, sakkoa neljäkymmentä talaria kukin].", , , , 
Vahvistettava laki,1,1734,N/A,1 §,N/A,"Nämä ovat lailliset saannot, joilla maa, huone ja maapohja maalla ja kaupungissa omaksi saadaan: yksi on perintö, jos on laillisesti peritty toinen on vaihto, jos on laillisesti vaihdettu kolmas on kauppa, jos on laillisesti ostettu neljäs on lahja, jos on laillisesti annettu [viides on panttaus, jos on laillisesti pantattu ja pantti laillistunut] aina sen mukaan kuin tässä lakikirjassa säädetään. Laillinen pysyköön, laiton purkautukoon.", , , , 
Vahvistettava laki,1,1734,N/A,4 §,N/A,"Jos joku myypi maan, huoneen tahi talonaseman, jonka hän jo ennen on toiselle myynyt, niin olkoon ensin tehty kauppa pysyväinen, ja [se, joka saman kahdelle myi, vetäköön sakkoa kuudennen osan kauppahinnasta] ja korvatkoon vahingon.", , , , 
Vahvistettava laki,1,1734,N/A,5 §,N/A,"[Kun veromaa myydään pois suvusta, on se ennen kolmannen huudon ottamista tarjottava kruunulle, jos se on kruununveroinen ja veronomistajalle, jos se on rälssiveroinen, ja olkoon heillä valta se maa lunastaa ja sitten loppuun huudattaa, niinkuin on sanottu.]", , , , 
Vahvistettava laki,1,1734,N/A,6 §,N/A,"Joka ostaa, mitä toisen maalle ja maapohjalle kaupungissa on rakennettu, [tarjotkoon] sen laillisesti hänen lunastettavakseen.", , , , 
Vahvistettava laki,1,1734,N/A,7 §,N/A,"Älköön kukaan tehkö lapsi-ikäisen, [neidon] tai heikkomielisen kanssa kauppaa taikka vaihtoa heidän maastansa. Jos joku sen tekee, olkoon se mitätön ja lainhuudon antaminen kielletty.", , , , 
Vahvistettava laki,1,1734,N/A,8 §,N/A,"[Jos holhoojalle tulee pakko holhottavainsa elatukseksi ja tarpeelliseksi kasvatukseksi myydä heidän kiinteätä perintöänsä, näyttäköön tuomarille, että on tositarve ja sittenkuin tuomari, kuulustettuansa lähimpiä tässä valtakunnassa asuvia sukulaisia,] on kaupan hyväksynyt ja kauppa on laillistunut, älköön holhunalaisilla täysivaltaisiksi tultuansa olko oikeutta nostaa siitä kannetta.", , , , 
Vahvistettava laki,1,1734,N/A,9 §,N/A,"[Mitä veronalaiseen maahan laillisesti kuuluu, siltä älköön sen omistaja myymällä, vaihtamalla tahi muulla tavalla mitään erottako ja vähentäkö. Jos joku sen tekee, olkoon se mitätön.]", , , , 
Vahvistettava laki,1,1734,N/A,10 §,N/A,"Jos talonkirjat turmeltuvat tai hukkaantuvat, olkoon kihlakunnan tahi kaupungin tuomiokirjalla todistusvoima ja antakoon tuomari tahi pormestari ja raati uuden talonkirjan.", , , , 
Vahvistettava laki,1,1734,N/A,1 §,N/A,"(27.6.1878/19A) Joka huoneen tahi talonaseman kaupungissa ostanut on, [tarjotkoon sen osatalokkaalle ja naapurille lunastettavaksi, ennenkuin sille huudatusta hakee] ja olkoon osatalokkaalla, niin myös naapurilla niissä tapauksissa, jotka ovat tämän luvun 3, 4 ja 5 §:ssä luetellut, oikeus [neljässätoista päivässä kolmannen huudon perästä] lunastaa se huone tahi talonasema.", , , , 
Vahvistettava laki,1,1734,N/A,2 §,N/A,"Osatalokkaan oikeus on niillä, jotka kaupungissa omistavat osan samasta talosta ja talonasemasta, ja naapurin oikeus niillä, jotka vieressä asuvat ja olkoon osatalokkaalla lunastamisoikeus ennen naapuria.", , , , 
Vahvistettava laki,1,1734,N/A,3 §,N/A,"Jos huone ja talonasema on naapurilta lohkaistu ja erotettu, hänelle haitaksi ja ahdingoksi, olkoon hän ennen muita naapureita oikeutettu lunastamaan sen.", , , , 
Vahvistettava laki,1,1734,N/A,4 §,N/A,"Sama oikeus olkoon myös sillä, jolla on toinen puoli välimuuria, taikka joka käyttää toisen muuria tahi seinää, taikka jonka perusmuurilla toisen muuri on, taikka joka käyttää toisen perusmuuria.", , , , 
Vahvistettava laki,1,1734,N/A,5 §,N/A,"Jos jollakulla on tuntuvaa haittaa toisen huoneesta, niinkuin räystäsvedestä, pimittämisestä, akkunoista, aukoista, veden valumisesta, ja muuta vastusta, taikka jos hänellä on ahdas talo tahi talonasema, niin olkoon hänelläkin lunastamisoikeus.", , , , 
Vahvistettava laki,1,1734,N/A,6 §,N/A,"Jos naapurit riitelevät siitä, kenellä on parempi oikeus myytyyn taloon tahi talonasemaan, niin tutkikoon tuomari, kuka sen paraiten tarvitsee älköönkä näissä asioissa olko mitään eroa vapaalla ja ehdollisella maapohjalla ellei kaupunki tahdo pitää ehdollista talon asemaa.", , , , 
Vahvistettava laki,1,1734,N/A,7 §,N/A,"Jos syntyy riita naapurin tahi osatalokkaan ja ostajan välillä oikeasta kauppahinnasta, käyköön asian niin kuin sukulunastamisesta 5 Luvun 6 §:ssä on sanottu.", , , , 
Vahvistettava laki,1,1734,N/A,1 §,N/A,- - - - - - - - - - - - - -, , , , 
Vahvistettava laki,1,1734,N/A,2 §,N/A,"Jos lahjan saajan havaitaan tehneen antajalle, hänen lapsillensa tai lähimmälle perillisellensä tuntuvaa vääryyttä, haittaa ja vahinkoa, niin olkoon heillä valta peruuttaa lahja, jos se vielä on saajan hallussa ja Oikeus harkitsee sen syystä menetetyksi. Jos lahja on annettu vaivannäöstä ja työstä tahi tehdystä palveluksesta, niin älköön peruutuko.", , , , 
Vahvistettava laki,1,1734,N/A,1 §,N/A,"Älköön kenelläkään olko valtaa myydä, vaihtaa taikka pantiksi panna toisen maata, huonetta tahi talonasemaa, ellei hänellä ole siihen omistajan avointa lupa- ja valtakirjaa. Jos se tehdään, olkoon kauppa mitätön, vaikka olisikin saatu huudatus ja laillistus ja se, joka sen on tehnyt, vetäköön sakkoa [neljäkymmentä talaria] ja korvatkoon vahingon.", , , , 
Vahvistettava laki,1,1734,N/A,2 §,N/A,"Älköön myöskään tuomiota annettako kenenkään maatilasta älköönkä maata [takavarikkoon] pantako, ellei omistajaa ole laillisesti haastettu taikka hän itse tai hänen tunnettu asiamiehensä ole vastaamassa.", , , , 
Vahvistettava laki,1,1734,N/A,1 §,N/A,"Jos joku ostaa maan, huoneen tahi talonaseman ja sitä kauppaa moititaan, niin ostaja ottakoon haasteen myyjälle. Jos kauppa voidaan vastata, niin se pysyköön jos ei, niin maksakoon myyjä takaisin mitä hinnasta on saanut ja korvatkoon kaiken vahingon, mitä ostajalle on siitä kaupasta tullut. Maksakoon myös se, joka maan voittaa, kaiken siihen tehdyn tarpeellisen ja hyödyllisen parannuksen.", , , , 
Vahvistettava laki,1,1734,N/A,2 §,N/A,- - - - - - - - - - - - - -, , , , 
Vahvistettava laki,1,1734,N/A,3 §,N/A,"Jos saantomiehiä on useampia, jotka ovat toinen toiseltansa saaneet, niin johtakoot saantonsa laillisesti kukin miehestä mieheen, ja joka ei voi kauppaa vastata, vetäköön sakkoa [kuusi talaria]. Jos kaupanvastaajalla on yhdysperillisiä, joita hän tahtoo velvoittaa kauppaa kanssansa vastaamaan, antakoon itse heille siitä tiedon. Jos ostaja ei voi saada omaansa lähimmältä kaupanvastaajalta, niin olkoon hänellä valta hakea toiselta, kolmannelta ja niin edespäin, kuitenkin järjestänsä yhdeltä toisensa perästä.", , , , 
Vahvistettava laki,1,1734,N/A,4 §,N/A,"Jos se maa voitetaan pois, jonka joku on vaihtamalla saanut toisen maan sijaan, niin olkoon hänellä valta ottaa takaisin oma maansa, niin kauan kuin se on sen hallussa, joka hänen kanssansa vaihtoi, taikka tämän perillisillä. Jos maa on uudella vaihtamisella, myymisellä, [panttaamisella] tahi lahjoittamisella taikka laillisella velan ulosotolla toisen haltuun joutunut, ja jos siihen on annettu huudot taikka kiinnitys, niin älköön hänellä sitten olko valtaa siitä kantaa, vaan hakekoon saantomieheltänsä, niinkuin paraiten voi.", , , , 
Vahvistettava laki,1,1734,N/A,5 §,N/A,"Jos oikea saantomies on kuollut, niin vastatkoot kaupan hänen perillisensä, elleivät ole laillisesti luopuneet tahi tahdo luopua perinnöstä ja sakkoa ei ole.", , , , 
Vahvistettava laki,1,1734,N/A,6 §,N/A,"Joka vaihtaa taikka myy maan, huoneen tahi talonaseman eikä tahdo kauppaa vastata, pankoon sen ehdon nimenomaan siihen kirjaan, jolla hän maan, huoneen tahi talonaseman luovuttaa.", , , , 
Vahvistettava laki,1,1734,N/A,7 §,N/A,"Jos naapurien välillä syntyy riitä rajapyykeistä taikka muista rajamerkeistä, niin puolustakoon ostaja rajojansa, niinkuin parhaiten voi ja taitaa olkoon myös kaupanvastaaja velvollinen antamaan ostajalle kaikki ne tiedot ja todistukset, jotka hänellä on hallussansa. Jos hän ne salaa se näytetään toteen, korvatkoon vahingon arviomiesten lausunnon mukaan.", , , , 
Vahvistettava laki,1,1734,N/A,1 §,N/A,(13.10.1916/82) 1 § on kumottu A:lla 13.10.1916/82., , , , 
Vahvistettava laki,1,1734,N/A,2 §,N/A,(13.10.1916/82) 2 § on kumottu A:lla 13.10.1916/82., , , , 
Vahvistettava laki,1,1734,N/A,3 §,N/A,"Jos kylät riitelevät välirajasta, noudatettakoon niitä rajapyykkejä, jotka ovat vanhastaan olleet, taikka jotka on tuomiolla vahvistettu. Jollei rajapyykkejä löydy, niin pidettäköön vanhoja aitoja, kallioita, muinaisia kiviraunioita, puroja, pensasaitoja tahi muita merkkejä rajoina, jos niitä vanhastaan on laillisiksi rajamerkeiksi katsottu. Kyläin välillä oleva joki, järvi tahi salmi olkoon myös rajana, jos ei pyykkiä ole toisin osottamassa.", , , , 
Vahvistettava laki,1,1734,N/A,4 §,N/A,"Jos joki, järvi tahi salmi on pitkinpäin kyläin välillä, olkoon puoleksi kummankin. Laki olkoon sama keskellä järveä tahi jokea olevasta saaresta. Saari, joka on toista rantaa lähempänä, olkoon sen, jolle vesi rajalinjan ja rajamerkkien mukaan kuuluu. Kulkusaaren pitäköön se, joka sen rantaansa kiinnittää. Jos järvi taikka osa siitä maatuu niityksi, olkoon kullakin osa niittyyn tahi maahan entisen järviosansa mukaan. Suurten järvien päässä tahi sivulla olevalla kylällä olkoon osa järveen ja saariin rajalinjan ja talonpaikkansa mukaan. Se, jolla on ylimuistoinen nautinta ulkosaariin, kalastuspaikkoihin tai ulkokareihin, saakoon sen oikeuden häiritsemättä pitää. Järvissä ja virroissa olevasta valtaväylästä säädetään [Rakennuskaaressa].", , , , 
Vahvistettava laki,1,1734,N/A,5 §,N/A,"Milloin kylän tilukset ulottuvat ulkopuolelle maakunnan, kihlakunnan ja pitäjän rajoja, pidettäköön ne kylän omina, jos ovat pyykitetyt taikka siihen on muita perusteita.", , , , 
Vahvistettava laki,1,1734,N/A,6 §,N/A,"Jos metsissä tahi syöttömailla ja aitaamattomilla laitumilla kyläin välillä ei ole pyykkejä eikä muita rajamerkkejä, niin olkoon kullakin niihin osa äyri- ja aurtuaveronsa mukaan. Sama olkoon laki, jos yhteisen rajapiirin sisällä on useampia kyliä, joita ei ole toisistaan erotettu. Autiokylällä olkoon sama oikeus kuin asutulla.", , , , 
Vahvistettava laki,1,1734,N/A,7 §,N/A,"Rajanaapurit avatkoot vähintään joka kolmas vuosi rajansa kaikilta puolilta, että ne rajamerkkeinensä aina oikeina pysyvät.", , , , 
